TRACK	LABEL	DURATION	BIN	EMOTION_VALENCE
1058322.mp3	 	 	 	activated_pleasant
1292331.mp3	 	 	 	activated_pleasant
1275147.mp3	 	 	 	activated_pleasant
1001063.mp3	 	 	 	activated_pleasant
715560.mp3	 	 	 	activated_pleasant
1173652.mp3	 	 	 	activated_pleasant
1420495.mp3	 	 	 	activated_pleasant
857627.mp3	 	 	 	activated_pleasant
1142570.mp3	 	 	 	activated_pleasant
1203415.mp3	 	 	 	activated_pleasant
660444.mp3	 	 	 	activated_pleasant
1121436.mp3	 	 	 	activated_pleasant
811240.mp3	 	 	 	activated_pleasant
1360556.mp3	 	 	 	activated_pleasant
628548.mp3	 	 	 	activated_pleasant
1221852.mp3	 	 	 	activated_pleasant
699100.mp3	 	 	 	activated_pleasant
1095113.mp3	 	 	 	activated_pleasant
1109955.mp3	 	 	 	activated_pleasant
1391263.mp3	 	 	 	activated_pleasant
1174376.mp3	 	 	 	activated_pleasant
1018801.mp3	 	 	 	activated_pleasant
1407659.mp3	 	 	 	activated_pleasant
1351476.mp3	 	 	 	activated_pleasant
1374304.mp3	 	 	 	activated_pleasant
1361525.mp3	 	 	 	activated_pleasant
72645.mp3	 	 	 	activated_pleasant
1309224.mp3	 	 	 	activated_pleasant
1143221.mp3	 	 	 	activated_pleasant
791688.mp3	 	 	 	activated_pleasant
1413269.mp3	 	 	 	activated_pleasant
9837.mp3	 	 	 	activated_pleasant
114780.mp3	 	 	 	activated_pleasant
217488.mp3	 	 	 	activated_pleasant
1176716.mp3	 	 	 	activated_pleasant
1169721.mp3	 	 	 	activated_pleasant
1119818.mp3	 	 	 	activated_pleasant
1266585.mp3	 	 	 	activated_pleasant
1267762.mp3	 	 	 	activated_pleasant
1336206.mp3	 	 	 	activated_pleasant
1277800.mp3	 	 	 	activated_pleasant
196541.mp3	 	 	 	activated_pleasant
1370367.mp3	 	 	 	activated_pleasant
1020438.mp3	 	 	 	activated_pleasant
627762.mp3	 	 	 	activated_pleasant
685853.mp3	 	 	 	activated_pleasant
109225.mp3	 	 	 	activated_pleasant
1149429.mp3	 	 	 	activated_pleasant
1310231.mp3	 	 	 	activated_pleasant
1396074.mp3	 	 	 	activated_pleasant
875381.mp3	 	 	 	activated_pleasant
155514.mp3	 	 	 	activated_pleasant
1189895.mp3	 	 	 	activated_pleasant
357511.mp3	 	 	 	activated_pleasant
1320571.mp3	 	 	 	activated_pleasant
1061518.mp3	 	 	 	activated_pleasant
1054438.mp3	 	 	 	activated_pleasant
1197342.mp3	 	 	 	activated_pleasant
1026088.mp3	 	 	 	activated_pleasant
1210890.mp3	 	 	 	activated_pleasant
1299927.mp3	 	 	 	activated_pleasant
1053507.mp3	 	 	 	activated_pleasant
72832.mp3	 	 	 	activated_pleasant
530327.mp3	 	 	 	activated_pleasant
1096870.mp3	 	 	 	activated_pleasant
1096871.mp3	 	 	 	activated_pleasant
972622.mp3	 	 	 	activated_pleasant
1053610.mp3	 	 	 	activated_pleasant
1118833.mp3	 	 	 	activated_pleasant
1390275.mp3	 	 	 	activated_pleasant
1170740.mp3	 	 	 	activated_pleasant
922939.mp3	 	 	 	activated_pleasant
1320947.mp3	 	 	 	activated_pleasant
915715.mp3	 	 	 	activated_pleasant
708464.mp3	 	 	 	activated_pleasant
1361477.mp3	 	 	 	activated_pleasant
1115638.mp3	 	 	 	activated_pleasant
1060998.mp3	 	 	 	activated_pleasant
1087561.mp3	 	 	 	activated_pleasant
1203926.mp3	 	 	 	activated_pleasant
1127794.mp3	 	 	 	activated_pleasant
1409341.mp3	 	 	 	activated_pleasant
1095378.mp3	 	 	 	activated_pleasant
950105.mp3	 	 	 	activated_pleasant
1391254.mp3	 	 	 	activated_pleasant
1419231.mp3	 	 	 	activated_pleasant
1309640.mp3	 	 	 	activated_pleasant
1171540.mp3	 	 	 	activated_pleasant
1023137.mp3	 	 	 	activated_pleasant
73994.mp3	 	 	 	activated_pleasant
1376552.mp3	 	 	 	activated_pleasant
1336341.mp3	 	 	 	activated_pleasant
202784.mp3	 	 	 	activated_pleasant
1323881.mp3	 	 	 	activated_pleasant
889233.mp3	 	 	 	activated_pleasant
1048372.mp3	 	 	 	activated_pleasant
169276.mp3	 	 	 	activated_pleasant
693475.mp3	 	 	 	activated_pleasant
941706.mp3	 	 	 	activated_pleasant
973250.mp3	 	 	 	activated_pleasant
1162019.mp3	 	 	 	activated_pleasant
1169725.mp3	 	 	 	activated_pleasant
1048363.mp3	 	 	 	activated_pleasant
23867.mp3	 	 	 	activated_pleasant
1395065.mp3	 	 	 	activated_pleasant
212535.mp3	 	 	 	activated_pleasant
211415.mp3	 	 	 	activated_pleasant
662440.mp3	 	 	 	activated_pleasant
799226.mp3	 	 	 	activated_pleasant
398172.mp3	 	 	 	activated_pleasant
1250041.mp3	 	 	 	activated_pleasant
1110075.mp3	 	 	 	activated_pleasant
1331565.mp3	 	 	 	activated_pleasant
